"","AMSMEN","AVENA","BRADIS","BRIMIN","BRODIA","BROHOR","BROMAD","CALCIL","CARDUUS","CASATT","CYNECH","DAUCAR","DAUPUS","DICCAP","DICVOL","ELYGLA","EROBOT","EUPSPA","FILGAL","GALIUM","GERSP","HORSP","HYPGLA","LAM","LINUM","LOLMUL","LOTUS","LUPBIC","MEDPOL","MICCAL","NASPUL","NAVLEU","ODOHAR","PETDUB","PHAAQU","PLALAN","PLANOT","RANOCC","SANBIP","SIDHAR","SILGAL","TAECAP","TRIHIR","TRIIXI","TRISP","VICIA","VULMYU","ZIGFRE"
"K121N",0,0,0,2.75,0,1.25,11.25,1.25,3.75,0,2.5,0,13.75,0,0,10,2.5,1.25,0,5,3.75,0,6.25,0,0,0,0,0,5,2.5,0,1.25,0,1.25,0,0,0,2.5,0,0,6.25,0,10,0,0,6.25,0,0
"K121S",0,1.5,0,0,0,20,22.5,0,0,0,8.75,0,6.5,0.25,0,0,1.25,0,0,2.5,0,0,10,0,0,0,0,0,5,1.25,0,0,0,0,0,0,0,0,0,0,3.75,0,13.75,1.25,0,2.5,0,0
"L111",2.5,0,0,0,13.75,42.5,7.5,0,0,0,0,10,1.25,0,0,0,3.75,0,0,1.25,2.5,0,5,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,3.75,5,0,0,0,0,0
"L111B",0,0,7.5,2.5,0,6.75,1.5,0,0,1.25,1.25,0,3.75,2.5,0,0,1.25,0,0,5,0,0,8.75,0,0,0,0,0,0,0,0,3.75,1.25,5,0,25,2.5,0,0,7.5,0,0,7.5,0,0,0,1.75,0
"L111D",0,0,15,0,0,13.75,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,32.5,0,1.25,0,0,0,5,0,1.25,0,2.5,0,0,15,3.75,0,0,0,5,0,0,0,0,0,0,0
"L111E",7.5,0,1.25,3.75,3.75,18.75,10,0,1.25,0,1.25,0,3.75,0,0,0,5,0,0,3.75,0,0,6.25,0,0,0,0,2.5,5,0,0,1.25,0,0,0,0,0,0,0,0,0,0,23.75,0,0,0,1.25,0
"L111N",0,7.5,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,5,0,0,22.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.5,10,7.5,0,0,2.5,2.5,0
"L111S",0,1.25,0,0,66.25,3.75,1.25,0,5,0,0,0.5,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,3.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,15.5,0,0,0.5,0,0
"L121",3.75,0,0,0,0,16.25,0,0,0,0,1.25,0,0,1.25,0,0,22.5,0,0,1.25,0,0,2.5,0,2.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,26.25,8.75,0,0,0,0,0
"L121C",2.5,10,0,0,5,20,1.25,0,0,0,0,0,0,0,0,0,11.25,0,0,0,2.75,1.25,0,0,0,2.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,37.5,0,0,0,0,0
