site,AUM,slope,aspect,insolation,elev,BD,Sand,Rock,BNPP,Root.N,Root.C,Root.CN,ANPP,Shoot.C,Shoot.N,Shoot.CN,POM.N,POM.C,POM.CN,MAOM.N,MAOM.C,MAOM.CN,BNPP.Mgha,ANPP.Mgha,POM.Mgha,MAOM.Mgha,POM.MAOM
C111,0.850444086,67,225,0.157446809,279,1.1872,41.2,22.93746279,0.005210094,0.997093081,34.01026535,34.10941865,0.5316,40.38829,2.288855,17.64563068,0.157931224,2.448122501,15.50119379,0.219546571,2.360300303,10.75079555,1.771966711,21.47041496,11.97441346,16.47663329,0.726751227
C111E,0.850444086,24,270,0.821276596,225,1.442408163,42.8,11.54340862,0.011233408,1.217430949,34.40610123,28.26123424,0.402933333,40.65044,2.282857,17.80682715,0.171060279,2.898800135,16.94607393,0.185679242,2.321169376,12.50096323,3.864977743,16.37941729,17.89576275,19.15098132,0.934456697
C111N,0.850444086,29,270,0.868085106,321,1.2496875,38.4,18.57399771,0.011215128,1.13041544,36.54534149,32.32912451,0.3768,40.35187,2.377161,16.97481576,0.200363338,3.38086319,16.87366174,0.254189998,3.008078814,11.83397788,4.098606909,15.20458462,16.22408627,23.15641631,0.700630273
C121,2.213741039,70,225,0.429787234,329,1.325346939,42.2,11.26175604,0.007484086,1.03603828,36.72714615,35.44960343,0.531866667,40.54736,2.279642,17.78672265,0.111037076,1.501123667,13.51912107,0.164523691,1.672247291,10.1641732,2.748691081,21.56578921,8.39573075,12.81025924,0.655391167
F112,4.14877022,72,315,0.953191489,356,1.655724138,45.2,19.23242405,0.005282462,0.937072933,36.62697601,39.08657985,0.436,40.29912,2.250746,17.90478357,0.203130499,2.951473713,14.5299388,0.194018826,2.300486803,11.85702878,1.934805964,17.57041632,22.08845474,20.87316398,1.058222642
F113,3.994858871,23,45,0.706382979,327,1.811967213,36.2,20.18052161,0.006579016,1.153179884,34.12121582,29.58880596,0.492,40.36786,2.406816,16.77230831,0.38712886,5.161841393,13.33365173,0.268375903,3.02573204,11.27423141,2.244840219,19.86098712,33.85817625,34.97852387,0.967970415
F114,3.903129582,74,45,0.289361702,345,1.721658537,50.9,21.89326531,0.011209593,1.17990005,38.07767105,32.27194629,0.244266667,40.20102,2.313094,17.37976062,0.176627964,2.637443066,14.93219425,0.217586413,2.230300665,10.25018352,4.268352047,9.819769152,23.11255172,18.85349744,1.22590261
F122,5.234712894,23,315,1,345,1.36424,41,33.91300745,0.003543874,1.161877155,34.26947784,29.49492353,0.378266667,40.37535,2.318756,17.41250481,0.197358713,2.569969654,13.02182012,0.178314149,1.81217432,10.16281841,1.214466969,15.27264906,14.37482714,14.5862201,0.985507352
F132,5.460932379,16,180,0.561702128,305,1.39937931,41.5,34.4035155,0.003943428,1.099896669,36.09476089,32.81650168,0.445733333,40.42639,2.365139,17.0926064,0.177596763,2.238919735,12.60675983,0.193737537,1.891525507,9.763340339,1.423370827,18.01938957,13.00235651,15.48472571,0.839689172
F134,3.602043622,3,225,0.719148936,299,1.464193548,43.6,28.32939765,0.006576838,1.019115686,37.32090378,36.6208707,0.494533333,39.87696,2.345086,17.00447659,0.169392705,2.563414574,15.13296912,0.234372437,2.647968054,11.29812058,2.454535383,19.72048595,16.36454095,21.86705686,0.748365043
