plot	species	abund
K121N	EROBOT	25
K121N	EUPSPA	13
K121N	GALIUM	50
K121N	GERSP	38
K121N	HYPGLA	63
K121N	MEDPOL	50
K121N	MICCAL	25
K121N	NAVLEU	13
K121N	PETDUB	13
K121N	RANOCC	25
K121N	SILGAL	63
K121N	TRIHIR	100
K121N	VICIA	63
K121S	AVENA	15
K121S	BROHOR	200
K121S	BROMAD	225
K121S	CYNECH	88
K121S	DAUPUS	65
K121S	DICCAP	3
K121S	EROBOT	13
K121S	GALIUM	25
K121S	HYPGLA	100
K121S	MEDPOL	50
K121S	MICCAL	13
K121S	SILGAL	38
K121S	TRIHIR	138
K121S	TRIIXI	13
K121S	VICIA	25
L111	AMSMEN	25
L111	BRODIA	138
L111	BROHOR	425
L111	BROMAD	75
L111	DAUCAR	100
L111	DAUPUS	13
L111	EROBOT	38
L111	GALIUM	13
L111	GERSP	25
L111	HYPGLA	50
L111	MEDPOL	13
L111	TAECAP	38
L111	TRIHIR	50
L111B	BRADIS	75
L111B	BRIMIN	25
L111B	BROHOR	68
L111B	BROMAD	15
L111B	CASATT	13
L111B	CYNECH	13
L111B	DAUPUS	38
L111B	DICCAP	25
L111B	EROBOT	13
L111B	GALIUM	50
L111B	HYPGLA	88
L111B	NAVLEU	38
L111B	ODOHAR	13
L111B	PETDUB	50
L111B	PLALAN	250
L111B	PLANOT	25
L111B	SIDHAR	75
L111B	TRIHIR	75
L111B	VULMYU	18
L111D	BRADIS	150
L111D	BROHOR	138
L111D	EROBOT	50
L111D	HYPGLA	325
L111D	LINUM	13
L111D	MEDPOL	50
L111D	NASPUL	13
L111D	ODOHAR	25
L111D	PLALAN	150
L111D	PLANOT	38
L111D	SILGAL	50
L111E	AMSMEN	75
L111E	BRADIS	13
L111E	BRIMIN	38
L111E	BRODIA	38
L111E	BROHOR	188
L111E	BROMAD	100
L111E	CARDUUS	13
L111E	CYNECH	13
L111E	DAUPUS	38
L111E	EROBOT	50
L111E	GALIUM	38
L111E	HYPGLA	63
L111E	LUPBIC	25
L111E	MEDPOL	50
L111E	NAVLEU	13
L111E	TRIHIR	238
L111E	VULMYU	13
L111N	AVENA	75
L111N	BROHOR	225
L111N	EROBOT	75
L111N	HYPGLA	50
L111N	LOLMUL	225
L111N	MEDPOL	50
L111N	SILGAL	25
L111N	TAECAP	100
L111N	TRIHIR	75
L111N	VICIA	25
L111N	VULMYU	25
L111S	AVENA	13
L111S	BRODIA	663
L111S	BROHOR	38
L111S	BROMAD	13
L111S	CARDUUS	50
L111S	DAUCAR	5
L111S	DAUPUS	3
L111S	GALIUM	5
L111S	LOLMUL	38
L111S	LUPBIC	3
L111S	TAECAP	13
L111S	TRIHIR	155
L111S	VICIA	5
L121	AMSMEN	38
L121	BROHOR	163
L121	CYNECH	13
L121	DICCAP	13
L121	EROBOT	225
L121	GALIUM	13
L121	HYPGLA	25
L121	LINUM	25
L121	MEDPOL	125
L121	TAECAP	263
L121	TRIHIR	88
L121C	AMSMEN	25
L121C	AVENA	100
L121C	BRODIA	50
L121C	BROHOR	200
L121C	BROMAD	13
L121C	EROBOT	113
L121C	GERSP	28
L121C	HORSP	13
L121C	LOLMUL	25
L121C	LUPBIC	50
L121C	TAECAP	13
L121C	TRIHIR	375
L121N	BRODIA	25
L121N	BROHOR	200
L121N	BROMAD	63
L121N	CARDUUS	15
L121N	CYNECH	25
L121N	EROBOT	25
L121N	GALIUM	25
L121N	GERSP	25
L121N	HORSP	125
L121N	LOLMUL	238
L121N	LUPBIC	13
L121N	MEDPOL	13
L121N	TAECAP	25
L121N	TRIHIR	150
L121N	VICIA	13
L121N	VULMYU	25
P111	AVENA	3
P111	BRADIS	100
P111	BRODIA	13
P111	BROHOR	38
P111	EROBOT	313
P111	LOLMUL	25
P111	PETDUB	13
P111	TAECAP	188
P111	TRIHIR	313
P112	AVENA	125
P112	BRADIS	413
P112	BROHOR	50
P112	DICCAP	15
P112	DICVOL	3
P112	EROBOT	188
P112	GALIUM	13
P112	LOLMUL	13
P112	TRIHIR	163
P113	AVENA	438
P113	BRIMIN	13
P113	BROHOR	63
P113	EROBOT	125
P113	FILGAL	25
P113	GALIUM	38
P113	HYPGLA	13
P113	TAECAP	125
P113	TRIHIR	150
P113	ZIGFRE	13
P114	BRIMIN	25
P114	BROHOR	138
P114	EROBOT	13
P114	HORSP	100
P114	LOLMUL	113
P114	PHAAQU	163
P114	TAECAP	350
P114	TRIHIR	100
P114	TRISP	3
P121	BROHOR	225
P121	DICVOL	13
P121	EROBOT	113
P121	HORSP	50
P121	HYPGLA	40
P121	LOLMUL	63
P121	MEDPOL	75
P121	MICCAL	13
P121	TAECAP	225
P121	TRIHIR	188
P121	TRISP	3
P131	AVENA	238
P131	BRIMIN	3
P131	BROHOR	188
P131	DICCAP	13
P131	EROBOT	75
P131	GALIUM	13
P131	HORSP	25
P131	HYPGLA	50
P131	PETDUB	13
P131	TAECAP	200
P131	TRIHIR	188
P221	AVENA	213
P221	BRODIA	63
P221	BROHOR	200
P221	EROBOT	38
P221	LOLMUL	113
P221	TAECAP	275
P221	TRIHIR	75
P221	VICIA	25
SC12	BRADIS	413
SC12	BROHOR	63
SC12	EROBOT	113
SC12	FILGAL	3
SC12	GALIUM	3
SC12	HYPGLA	68
SC12	LINUM	28
SC12	LOLMUL	25
SC12	NAVLEU	25
SC12	PLALAN	25
SC12	TAECAP	113
SC12	TRIHIR	138
SC14	AVENA	88
SC14	BRIMIN	13
SC14	BROHOR	150
SC14	EROBOT	113
SC14	GALIUM	13
SC14	HORSP	75
SC14	HYPGLA	50
SC14	LAM	13
SC14	LINUM	63
SC14	LOLMUL	50
SC14	MEDPOL	125
SC14	TAECAP	125
SC14	TRIHIR	100
SC14	TRISP	25
SH111	AVENA	55
SH111	BRADIS	338
SH111	BRODIA	25
SH111	BROHOR	48
SH111	BROMAD	3
SH111	DICCAP	5
SH111	EROBOT	263
SH111	LINUM	65
SH111	TRIHIR	200
SH121	AVENA	363
SH121	BROHOR	50
SH121	CYNECH	3
SH121	EROBOT	15
SH121	GALIUM	5
SH121	HORSP	125
SH121	LOLMUL	388
SH121	MEDPOL	13
SH121	TAECAP	13
SH121	TRIHIR	38
SH131	AMSMEN	75
SH131	AVENA	63
SH131	BRADIS	88
SH131	BRODIA	80
SH131	BROHOR	325
SH131	CARDUUS	53
SH131	DAUPUS	88
SH131	DICCAP	5
SH131	EROBOT	25
SH131	GALIUM	13
SH131	HORSP	25
SH131	LINUM	5
SH131	TAECAP	80
SH131	TRIHIR	75
SH141	AVENA	313
SH141	BROHOR	38
SH141	EROBOT	100
SH141	LOLMUL	118
SH141	TAECAP	375
SH141	TRIHIR	50
USC14	BROHOR	200
USC14	DICCAP	13
USC14	EROBOT	138
USC14	HYPGLA	38
USC14	LINUM	63
USC14	LOLMUL	63
USC14	MEDPOL	13
USC14	NAVLEU	38
USC14	TAECAP	300
USC14	TRIHIR	125
USC14	VULMYU	13
