sample,cushion.open,Androsace_chamaejasme,Arenaria_ciliata,Artemisia_eriantha,Astragalus_frigidus,Bartsia_alpina,Campanula_alpina,Campanula_cochleariifolia,Campanula_tatrae,Carex_atrata,Carex_capillaris,Carex_firma,Carex_fuliginosa,Carex_sempervirens,Cerastium_lanatum,Chamorchis_alpina,Comastoma_tenellum,Crepis_jacquinii,Delphinium_oxysepalum,Doronicum_clusii,Draba_aizoides,Draba_tomentosa,Dryas_octopetala,Erigeron_alpinus,Erigeron_uniflorus,Euphrasia_salisburgensis,Euphrasia_tatrae,Festuca_versicolor,Galium_anisophyllon,Gentianella_lutescens,Hedysarum_hedysaroides,Helianthemum_alpestre,Helianthemum_grandiflorum,Ligusticum_mutellinoides,Lloydia_serotina,Luzula_spicata,Minuartia_gerardii,Minuartia_sedoides,Myosotis_alpestris,Oxytropis_campestris,Oxytropis_carpatica,Oxytropis_halleri,Parnassia_palustris,Pedicularis_oederi,Pedicularis_verticillata,Persicaria_bistorta,Persicaria_vivipara,Phyteuma_orbiculare,Poa_alpina,Pseudorchis_albida,Ranunculus_alpestris,Ranunculus_breyninus,Ranunculus_pseudomontanus,Rhodiola_rosea,Salix_alpina,Salix_herbacea,Salix_reticulata,Salix_retusa,Saussurea_alpina,Saxifraga_aizoides,Scabiosa_lucida,Sedum_atratum,Sesleria_tatrae,Thymus_alpestris,Trisetum_alpestre,Trisetum_flavescens
1,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,3,,,
2,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,3,,,2,,,,,,,3,,2,,,11,,,,,,,,,,,,,,,,,,,
3,cushion,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,1,4,,,5,,,,,1,,1,,,,,,,,,,5,,
4,cushion,3,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,1,,,,,,4,,1,8,,,12,,,,,2,,,,,,,,,3,,,4,,
5,cushion,3,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,8,,,,,,6,,6,,6,,9,,,,,2,,1,,,,,,,,,,5,,
6,cushion,26,,,,,,,,,,,,,2,,,1,,,,,,,,,,12,,,,,,,,,1,,,,1,,,,5,,6,,1,,,,,,,,,,,,,,,,,
7,cushion,34,,,,,,,,,,,,2,,,,,,,,,,,,,,32,7,,,,,,4,,,,,,1,,,,10,,12,,,,,3,,3,,,,,,,,,,,,
8,cushion,3,,,,,,,,,,,,,1,,2,,,,,,,,,,,23,18,,,,,,,,,,,,1,,,,5,,27,,,,,3,,,,,,,,,,,,,,
9,cushion,7,,,,,,,,,,,,,7,,,,,,,,,,,,,21,12,,,,,,8,,,,,,,,1,,3,,21,,,,,,,2,,,,,,,,,10,,,
10,cushion,19,,,,,,,3,,,,,,,,,,,,,,,,,,,31,15,,,,,,,,,,,,,,,,2,,11,,,,,2,,,,,,,,,,,,,,
11,cushion,7,,,,,,,,,,,,2,3,,,2,,,,,,,,1,,21,,,,,,,,,,,,,3,,,,,,17,,,,,3,,4,,,,,,,,,,,,
12,cushion,11,,,,8,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,2,,,,,,11,,,,,,,,,,1,,,,1,,,2,,
13,cushion,12,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,21,,,,,1,,1,,,,,,,,,15,,,
14,cushion,17,,,,,,,,,,,,,,,,3,,,,,,,,,,80,1,,,,,,,,5,,,,,,,,2,,8,,,,,,,4,,,,,1,,,,,3,,
15,cushion,22,,,,,,,,,,,,,,,,3,,,,,,,,,,6,11,,,,,,,,,,,,3,,1,,6,,10,,,,,1,,,,,,,1,,,,5,,,
16,cushion,5,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,,,,,,2,,,,,,,,,,2,,4,,,,,2,,,,,,,1,,,,,5,,
17,cushion,19,,,,,,,,,,,,,1,,,,,,,,,,,,,100,9,,,,,,3,,,,,,,,,,11,,13,,,,,1,,,,,,,1,,,,,21,,
18,cushion,10,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,4,,,,,,1,,,,12,,11,,,,,2,,,,,,,,,,,,,,
19,cushion,5,5,,,,,,,,,,,3,,,,,,,,,,,,1,,70,29,,,10,,,2,,,,,,7,,,,2,,13,,,,,4,,1,,,,,,,,,,,,
20,cushion,4,2,,,,,,,,,6,,,,,,,,,,,,,,,,140,,,,3,,,,,,,,,,,,,,,11,,,,,2,,1,,,,,,,,,,9,,
21,cushion,,2,,,,,,,,,17,,,5,,,,,,,,,,,,,15,36,,,,,,,,,,,,2,,,,10,,,,,,,4,,,,,,,,,,,2,8,,
22,cushion,8,5,,,,,,,,,,,,42,,,,,,,,,,,,,94,,,,,,,,,,,,,1,,,,,,16,,,,,1,,,,,,,,,,,,6,,
23,cushion,,,,,,,,,,,,,4,7,,,,,,,,,,,,,50,3,,,2,,,,,,,,,2,,,,,,12,,,,,,,,,,,,,,,,,8,,
24,cushion,,,,,,,,,,,16,,,,,,,,,,,,,,,,55,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,,,49,,,,,,,,,,,,,2,,,,,,4,,,,,1,,,,,,,,,,,,,7,
26,cushion,11,8,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,1,,,,,,6,,,,,,9,,,,,,,1,,,,,,,,,,,,
27,cushion,18,7,,,,,,,,,,,,,,,3,,,,,,,,,,10,,,,8,,,2,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,
28,cushion,,,,,,,,,,,,,,9,,,,,,,,,,,,,50,,,,,,,,,,,,,1,,,,,,8,,,,,1,,,,,,,,,,,1,3,,
29,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,,,20,2,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,
30,cushion,4,,,,,,,,,,,,,,,,1,,,,,,,,1,,10,,,,,,,,,,,,,1,,,,1,,10,,,,,,,,,,,,,,,,10,,,
31,cushion,1,,,,,,,,,,,,3,2,,,,,,,,,,,,,60,4,,,7,,,,,,,,,5,,,,1,,,,,,,1,,,,,,,,,,,,,,
32,cushion,6,,,,,,,,,,,,,,,,,,,,,,,,,,18,10,,,,,,2,,,,,,2,,,,1,,20,,,,,4,,,,,,,,,,,,12,,
33,cushion,32,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,25,,,,,,1,,,,3,,17,,,,,3,,,,,,,,,,,,,,
34,cushion,7,,,,,,,,,,,,,1,,,,,,,,,,,,,18,8,,,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,
35,cushion,14,,,,,,,,,,,,,4,,,,,,,,,,,,,,8,,,,,,12,,,,,,1,,,,,,7,,,,,5,,,,,,,,,,,,,,
36,cushion,14,,,,,,,,,,,,1,10,,,1,,,,,,,,,,35,,,,3,,,7,,,,,,,,1,1,13,,60,,,,,6,,4,,,,,,,,,,2,,
37,cushion,4,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,6,,,,,,2,,1,,,,15,,,,,2,,9,,,,,,,,,,9,,
38,cushion,4,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2,,,,,,6,,,,7,,,,,,,3,,1,,,,,,,,,,2,,
39,cushion,15,,,,,,,,,1,,,,,1,,1,,,,,,,,,,7,7,,,,,,6,,,,,,1,,,,3,,10,,,,,1,,1,,,,,,,,,,1,,
40,cushion,20,,,,,,,,,,,,,,1,,1,,,,,,,,,,20,14,,,,,,,,2,,,,1,,,,5,,15,,,,,2,,,,,,,,,,,,5,,
41,cushion,15,,,,,,,2,,,,,,,1,,2,,,,,,,,,,42,15,,,3,,,7,,,,,,5,,,,5,,21,,,,,9,,2,,,,,,,,,,4,,
42,cushion,24,3,,,,,,,,,,,,,,,2,,,2,,,,,,,13,8,,,,,,2,,,,,,,,,1,7,,20,,,1,,4,,,,,,,,,,,,6,,
43,cushion,1,,,,,,,,,,8,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,2,,,,2,,3,,,,,,,,,,,,,,,,,,,
44,cushion,2,7,,,,,,,,,,,,,,,,,,,,,,,,,15,7,,,14,,,,,,,,,6,,,,,,13,,,,,2,,2,,,,,,8,2,,2,1,,
