,red Mite,mite Gall,bl. Salticid w/red Legs,black Salticid,white Salticid,brn. Crab Spider,red bl. Wh.brn. Salticid,wh.cream bl. Wolf Spider,brn. Salticid,bl. Wh. Salticid,bl.brn.wh. Salticid,Bronze Salticid,grn.wh. Crab Spider,or.bl.wh. Crab Spider,orange Crab Spider,Green Crab Spider
bc1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
bc2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
bc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc7,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
bc8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bc9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
bc10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
