moth,canopy,A
2,14.3,7.2
2,28.5,2.8
2,34.9,4.6
2,43.6,5.2
2,169.9,25.4
2,38,0
2,102.4,9.7
2,64.8,9.9
2,39.2,1.8
2,39.2,4.7
1,320,39.9
1,206.4,58
1,194.9,39.1
1,135.2,18.3
1,89.8,12.4
1,417.7,44.1
1,164.5,24.1
1,155.7,34.9
1,155.1,43.1
1,169,19
