Taxon,Site02,Site03,Site04,Site05,Site08,Site09,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site23,Site24,Site25,Site26,Site31,Site32,Site33,Site34,Site36,Site37,Site38,Site39,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site50,Site52,Site54,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63,Site64,Site65,Site67,Site68,Site69,Site72,Site73,Site74,Site75,Site76,Site77,Site78,Site79,Site80,Site81,Site83,Site84,Site85,Site86,Site87,Site88,Site89,Site91,Site92,Site93,Site94,Site95,Site97,Site98,Site99,Site100,Site101
Abrotanella_inconspicua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrotanella_sp,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaena_antarctica,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaena_antarctica,,,,,,,,,,,,,,,,,0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaena_antarctica,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaena_antarctica,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaena_diminuta,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaena_leptacantha,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaena_leptacantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaena_leptacantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
